metro,city_gu,dong_ri_eup_myeon,base_date,year,priority_protected,converted_deposit,top_priority_amount
서울특별시,,,2002-11-01,2002,240000000,45000000,13500000
서울특별시,,,2008-08-21,2008,260000000,45000000,13500000
서울특별시,,,2010-07-26,2010,300000000,50000000,15000000
서울특별시,,,2014-01-01,2014,400000000,50000000,15000000
서울특별시,,,2018-01-26,2018,610000000,65000000,22000000
서울특별시,,,2019-04-02,2019,900000000,65000000,22000000
경기도,연천군,,2002-11-01,2002,140000000,25000000,7500000
경기도,양평군,,2002-11-01,2002,140000000,25000000,7500000
경기도,연천군,,2008-08-21,2008,150000000,25000000,7500000
경기도,양평군,,2008-08-21,2008,150000000,25000000,7500000
경기도,연천군,,2010-07-26,2010,150000000,25000000,7500000
경기도,양평군,,2010-07-26,2010,150000000,25000000,7500000
경기도,연천군,,2014-01-01,2014,180000000,30000000,10000000
경기도,양평군,,2014-01-01,2014,180000000,30000000,10000000
경기도,연천군,,2018-01-26,2018,270000000,30000000,10000000
경기도,양평군,,2018-01-26,2018,270000000,30000000,10000000
경기도,연천군,,2019-04-02,2019,370000000,30000000,10000000
경기도,양평군,,2019-04-02,2019,370000000,30000000,10000000
경기도,고양시 덕양구,,2002-11-01,2002,190000000,39000000,11700000
경기도,고양시 일산동구,,2002-11-01,2002,190000000,39000000,11700000
경기도,고양시 일산서구,,2002-11-01,2002,190000000,39000000,11700000
경기도,과천시,,2002-11-01,2002,190000000,39000000,11700000
경기도,광명시,,2002-11-01,2002,190000000,39000000,11700000
경기도,구리시,,2002-11-01,2002,190000000,39000000,11700000
경기도,군포시,,2002-11-01,2002,190000000,39000000,11700000
경기도,부천시,,2002-11-01,2002,190000000,39000000,11700000
경기도,성남시,,2002-11-01,2002,190000000,39000000,11700000
경기도,수원시,,2002-11-01,2002,190000000,39000000,11700000
경기도,시흥시,,2002-11-01,2002,190000000,39000000,11700000
경기도,안양시,,2002-11-01,2002,190000000,39000000,11700000
경기도,의왕시,,2002-11-01,2002,190000000,39000000,11700000
경기도,의정부시,,2002-11-01,2002,190000000,39000000,11700000
경기도,하남시,,2002-11-01,2002,190000000,39000000,11700000
경기도,고양시 덕양구,,2008-08-21,2008,210000000,39000000,11700000
