metro,city_gu,dong_ri_eup_myeon,start_date,end_date,limit_deposit,small_amount
서울특별시,종로구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,중구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,용산구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,성동구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,광진구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,동대문구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,중랑구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,성북구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,강북구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,도봉구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,노원구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,은평구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,서대문구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,마포구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,양천구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,강서구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,구로구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,금천구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,영등포구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,동작구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,관악구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,서초구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,강남구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,송파구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,강동구,,2001-09-15,2008-08-20,40000000,16000000
서울특별시,종로구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,중구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,용산구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,성동구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,광진구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,동대문구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,중랑구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,성북구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,강북구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,도봉구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,노원구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,은평구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,서대문구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,마포구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,양천구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,강서구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,구로구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,금천구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,영등포구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,동작구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,관악구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,서초구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,강남구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,송파구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,강동구,,2008-08-21,2010-07-25,60000000,20000000
서울특별시,종로구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,중구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,용산구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,성동구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,광진구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,동대문구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,중랑구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,성북구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,강북구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,도봉구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,노원구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,은평구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,서대문구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,마포구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,양천구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,강서구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,구로구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,금천구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,영등포구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,동작구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,관악구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,서초구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,강남구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,송파구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,강동구,,2010-07-26,2013-12-31,75000000,25000000
서울특별시,종로구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,중구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,용산구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,성동구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,광진구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,동대문구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,중랑구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,성북구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,강북구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,도봉구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,노원구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,은평구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,서대문구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,마포구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,양천구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,강서구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,구로구,,2014-01-01,2016-03-30,95000000,32000000
서울특별시,금천구,,2014-01-01,2016-03-30,95000000,32000000
